date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-10-17,2,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,2,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,2,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,2,3-row,manual,6,2,8.255,7.62,no lesion,,
2018-11-07,2,3-row,manual,6,2,30.48,33.02,no lesion,,
2018-11-28,2,3-row,manual,6,2,73.66,merged,no lesion,n_lesions revised to previous,merged into 1 lesion
2018-10-17,2,3-row,manual,7,2,9.525,5.715,no lesion,,
2018-11-07,2,3-row,manual,7,2,31.75,merged,no lesion,n_lesions revised to previous,lesion 1 & 2 have merged and total length now 12.5
2018-11-28,2,3-row,manual,7,2,57.15,merged,no lesion,n_lesions revised to previous,merged into 1 lesion
2018-10-17,2,3-row,manual,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,8,1,4.445,no lesion,no lesion,,
2018-11-28,2,3-row,manual,8,1,20.955,no lesion,no lesion,,
2018-10-17,2,3-row,manual,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,9,1,20.32,no lesion,no lesion,,
2018-11-28,2,3-row,manual,9,1,41.275,no lesion,no lesion,,
2018-10-17,2,3-row,manual,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,manual,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,manual,10,1,21.59,no lesion,no lesion,,
2018-10-17,3,3-row,manual,1,1,16.51,no lesion,no lesion,,
2018-11-07,3,3-row,manual,1,1,31.115,no lesion,no lesion,,
2018-11-28,3,3-row,manual,1,1,41.91,no lesion,no lesion,,
2018-10-17,3,3-row,manual,2,1,4.445,no lesion,no lesion,,
2018-11-07,3,3-row,manual,2,1,20.32,no lesion,no lesion,,
2018-11-28,3,3-row,manual,2,1,28.8925,no lesion,no lesion,,
2018-10-17,3,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,manual,6,1,6.35,no lesion,no lesion,,
2018-11-07,3,3-row,manual,6,1,22.86,no lesion,no lesion,,
2018-11-28,3,3-row,manual,6,1,40.005,no lesion,no lesion,,merged into 1 lesion
2018-10-17,3,3-row,manual,7,1,7.62,no lesion,no lesion,,
2018-11-07,3,3-row,manual,7,1,30.48,no lesion,no lesion,,
2018-11-28,3,3-row,manual,7,1,46.355,no lesion,no lesion,,
2018-10-17,3,3-row,manual,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,manual,8,1,31.75,no lesion,no lesion,,
2018-11-28,3,3-row,manual,8,1,46.99,no lesion,no lesion,,
2018-10-17,3,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,manual,1,1,3.81,no lesion,no lesion,,
2018-11-07,4,3-row,manual,1,1,19.685,no lesion,no lesion,,
2018-11-28,4,3-row,manual,1,1,36.83,no lesion,no lesion,,bleaching
2018-10-17,4,3-row,manual,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,manual,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,manual,2,1,4.7625,no lesion,no lesion,,
2018-10-17,4,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,manual,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,manual,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,manual,6,1,0.635,no lesion,no lesion,,
2018-11-07,4,3-row,manual,6,1,3.175,no lesion,no lesion,,
2018-11-28,4,3-row,manual,6,1,2.54,no lesion,no lesion,,
2018-10-17,4,3-row,manual,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,manual,7,1,11.43,no lesion,no lesion,,
2018-11-28,4,3-row,manual,7,1,35.56,no lesion,no lesion,,
2018-10-17,4,3-row,manual,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,manual,8,1,11.43,no lesion,no lesion,,
2018-11-28,4,3-row,manual,8,1,31.75,no lesion,no lesion,,
2018-10-17,4,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,manual,1,1,5.715,no lesion,no lesion,,
2018-11-07,5,3-row,manual,1,1,22.86,no lesion,no lesion,,
2018-11-28,5,3-row,manual,1,1,21.9075,no lesion,no lesion,,
2018-10-17,5,3-row,manual,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,manual,2,1,12.065,no lesion,no lesion,,
2018-11-28,5,3-row,manual,2,1,26.035,no lesion,no lesion,,
2018-10-17,5,3-row,manual,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,manual,3,1,5.08,no lesion,no lesion,,
2018-11-28,5,3-row,manual,3,1,44.45,no lesion,no lesion,,merged with gorund lesion
2018-10-17,5,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,manual,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,manual,4,1,3.81,no lesion,no lesion,,
2018-10-17,5,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,manual,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,manual,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,manual,6,1,6.35,no lesion,no lesion,,
2018-11-28,5,3-row,manual,6,1,15.5575,no lesion,no lesion,,
2018-10-17,5,3-row,manual,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,manual,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,manual,7,1,36.83,no lesion,no lesion,,
2018-10-17,5,3-row,manual,8,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,manual,8,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,manual,8,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,manual,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,manual,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,twine,1,1,27.94,no lesion,no lesion,,
2018-11-07,1,3-row,twine,1,1,45.72,no lesion,no lesion,,
2018-11-28,1,3-row,twine,1,1,66.04,no lesion,no lesion,,
2018-10-17,1,3-row,twine,2,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,1,3-row,twine,2,2,13.97,1.905,no lesion,,
2018-11-28,1,3-row,twine,2,2,27.94,merged,no lesion,n_lesions revised to previous,merged into 1 lesion
2018-10-17,1,3-row,twine,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,twine,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,twine,3,1,29.21,no lesion,no lesion,,
2018-10-17,1,3-row,twine,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,twine,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,twine,4,1,3.4925,no lesion,no lesion,,
2018-10-17,1,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,twine,6,1,7.62,no lesion,no lesion,,
2018-11-07,1,3-row,twine,6,1,30.48,no lesion,no lesion,,
2018-11-28,1,3-row,twine,6,1,52.705,no lesion,no lesion,,
2018-10-17,1,3-row,twine,7,1,5.08,no lesion,no lesion,,
2018-11-07,1,3-row,twine,7,1,15.875,no lesion,no lesion,,
2018-11-28,1,3-row,twine,7,1,37.465,no lesion,no lesion,,
2018-10-17,1,3-row,twine,8,1,2.54,no lesion,no lesion,,
2018-11-07,1,3-row,twine,8,1,18.415,no lesion,no lesion,,
2018-11-28,1,3-row,twine,8,1,33.655,no lesion,no lesion,,
2018-10-17,1,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,twine,9,1,10.795,no lesion,no lesion,,
2018-11-28,1,3-row,twine,9,1,30.48,no lesion,no lesion,,
2018-10-17,1,3-row,twine,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,twine,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,twine,10,1,3.81,no lesion,no lesion,,
2018-10-17,2,3-row,twine,1,1,3.81,no lesion,no lesion,,
2018-11-07,2,3-row,twine,1,1,17.78,no lesion,no lesion,,
2018-11-28,2,3-row,twine,1,1,25.4,no lesion,no lesion,,
2018-10-17,2,3-row,twine,2,1,5.715,no lesion,no lesion,,
2018-11-07,2,3-row,twine,2,1,19.685,no lesion,no lesion,,
2018-11-28,2,3-row,twine,2,1,29.845,no lesion,no lesion,,
2018-10-17,2,3-row,twine,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,twine,3,1,9.525,no lesion,no lesion,,
2018-11-28,2,3-row,twine,3,1,22.86,no lesion,no lesion,,
2018-10-17,2,3-row,twine,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,twine,4,1,0.9525,no lesion,no lesion,,
2018-11-28,2,3-row,twine,4,1,39.37,no lesion,no lesion,,
2018-10-17,2,3-row,twine,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,twine,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,twine,5,1,34.29,no lesion,no lesion,,
2018-10-17,2,3-row,twine,6,1,1.27,no lesion,no lesion,,
2018-11-07,2,3-row,twine,6,1,19.05,no lesion,no lesion,,
2018-11-28,2,3-row,twine,6,1,36.83,no lesion,no lesion,,
2018-10-17,2,3-row,twine,7,1,1.905,no lesion,no lesion,,
2018-11-07,2,3-row,twine,7,1,5.3975,no lesion,no lesion,,
2018-11-28,2,3-row,twine,7,1,5.3975,no lesion,no lesion,,
2018-10-17,2,3-row,twine,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,twine,8,1,2.8575,no lesion,no lesion,,
2018-11-28,2,3-row,twine,8,1,6.6675,no lesion,no lesion,,
2018-10-17,2,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,twine,9,1,19.05,no lesion,no lesion,,
2018-10-17,2,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,2,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,2,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,twine,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,twine,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,twine,1,1,48.26,no lesion,no lesion,,
2018-10-17,3,3-row,twine,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,twine,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,twine,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,twine,6,1,5.08,no lesion,no lesion,,
2018-11-07,3,3-row,twine,6,1,45.72,no lesion,no lesion,,
2018-11-28,3,3-row,twine,6,1,68.58,no lesion,no lesion,,bleaching and sorulating spots
2018-10-17,3,3-row,twine,7,1,5.08,no lesion,no lesion,,
2018-11-07,3,3-row,twine,7,1,22.86,no lesion,no lesion,,
2018-11-28,3,3-row,twine,7,1,38.1,no lesion,no lesion,,bleaching
2018-10-17,3,3-row,twine,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,twine,8,1,33.02,no lesion,no lesion,,sporulating on the section where the petiole connects with the cane
2018-11-28,3,3-row,twine,8,1,62.23,no lesion,no lesion,,scelrotia
2018-10-17,3,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,twine,9,1,31.75,no lesion,no lesion,,
2018-11-28,3,3-row,twine,9,1,57.15,no lesion,no lesion,,"bleaching and sporulating, sporulating on petiole/cane intersection"
2018-10-17,3,3-row,twine,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,twine,10,1,35.56,no lesion,no lesion,,
2018-11-28,3,3-row,twine,10,1,60.96,no lesion,no lesion,,
2018-10-17,4,3-row,twine,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,twine,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,twine,1,1,1.5875,no lesion,no lesion,,
2018-10-17,4,3-row,twine,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,twine,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,twine,2,1,2.2225,no lesion,no lesion,,
2018-10-17,4,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,twine,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,twine,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,twine,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,twine,6,1,1.905,no lesion,no lesion,,
2018-11-07,4,3-row,twine,6,1,25.4,no lesion,no lesion,,
2018-11-28,4,3-row,twine,6,1,40.64,no lesion,no lesion,,
2018-10-17,4,3-row,twine,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,twine,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,twine,7,1,28.575,no lesion,no lesion,,
2018-10-17,4,3-row,twine,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,twine,8,1,13.335,no lesion,no lesion,,
2018-11-28,4,3-row,twine,8,1,30.48,no lesion,no lesion,,
2018-10-17,4,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,twine,9,1,33.02,no lesion,no lesion,,
2018-10-17,4,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,twine,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,twine,1,1,6.985,no lesion,no lesion,,
2018-11-07,5,3-row,twine,1,1,12.7,no lesion,no lesion,,
2018-11-28,5,3-row,twine,1,1,18.415,no lesion,no lesion,,
2018-10-17,5,3-row,twine,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,2,1,7.3025,no lesion,no lesion,,
2018-10-17,5,3-row,twine,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,3,1,38.1,no lesion,no lesion,,
2018-10-17,5,3-row,twine,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,4,1,20.32,no lesion,no lesion,,
2018-10-17,5,3-row,twine,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,5,1,15.24,no lesion,no lesion,,
2018-10-17,5,3-row,twine,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,6,1,1.5875,no lesion,no lesion,,
2018-10-17,5,3-row,twine,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,7,1,24.4475,no lesion,no lesion,,
2018-10-17,5,3-row,twine,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,8,1,6.35,no lesion,no lesion,,
2018-10-17,5,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,9,1,24.13,no lesion,no lesion,,
2018-10-17,5,3-row,twine,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,twine,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,twine,10,1,25.4,no lesion,no lesion,,
