date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-11-28,3,3-row,blade,3,1,17.78,no lesion,no lesion,,
2018-10-17,3,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,4,1,46.355,no lesion,no lesion,,broken at tip
2018-10-17,3,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,5,1,5.08,no lesion,no lesion,,
2018-10-17,3,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,6,1,20.32,no lesion,no lesion,,
2018-10-17,3,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,7,1,28.8925,no lesion,no lesion,,
2018-10-17,3,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,8,1,24.13,no lesion,no lesion,,
2018-10-17,3,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,9,1,3.81,no lesion,no lesion,,
2018-10-17,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,1,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,1,1,0.9525,no lesion,no lesion,,
2018-10-17,4,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,2,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,2,1,3.175,no lesion,no lesion,,
2018-10-17,4,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
